Comunidad autónoma de residencia;Tipo de destino;Concepto turístico;Tipo de dato;Periodo;Total
04 Balears, Illes;A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2017;6.601.333
04 Balears, Illes;A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2016;6.470.452
04 Balears, Illes;A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2015;6.139.572
04 Balears, Illes;A otra Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2021;48,7
04 Balears, Illes;A otra Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2020;51,6
04 Balears, Illes;A otra Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2019;60,8
04 Balears, Illes;A otra Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2018;59,2
04 Balears, Illes;A otra Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2017;58,5
04 Balears, Illes;A otra Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2016;65,6
04 Balears, Illes;A otra Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2015;57,9
04 Balears, Illes;A otra Comunidad Autónoma;Pernoctaciones;Variación anual;2021;46,61
04 Balears, Illes;A otra Comunidad Autónoma;Pernoctaciones;Variación anual;2020;-43,13
04 Balears, Illes;A otra Comunidad Autónoma;Pernoctaciones;Variación anual;2019;10,78
04 Balears, Illes;A otra Comunidad Autónoma;Pernoctaciones;Variación anual;2018;-2,55
04 Balears, Illes;A otra Comunidad Autónoma;Pernoctaciones;Variación anual;2017;2,02
04 Balears, Illes;A otra Comunidad Autónoma;Pernoctaciones;Variación anual;2016;5,39
04 Balears, Illes;A otra Comunidad Autónoma;Pernoctaciones;Variación anual;2015;""
04 Balears, Illes;A otra Comunidad Autónoma;Gasto total;Valor absoluto;2021;358.202,87
04 Balears, Illes;A otra Comunidad Autónoma;Gasto total;Valor absoluto;2020;227.250,04
04 Balears, Illes;A otra Comunidad Autónoma;Gasto total;Valor absoluto;2019;525.830,62
04 Balears, Illes;A otra Comunidad Autónoma;Gasto total;Valor absoluto;2018;524.393,55
04 Balears, Illes;A otra Comunidad Autónoma;Gasto total;Valor absoluto;2017;537.810,32
04 Balears, Illes;A otra Comunidad Autónoma;Gasto total;Valor absoluto;2016;479.410,01
04 Balears, Illes;A otra Comunidad Autónoma;Gasto total;Valor absoluto;2015;420.489,21
04 Balears, Illes;A otra Comunidad Autónoma;Gasto total;Distribución porcentual;2021;57,30
04 Balears, Illes;A otra Comunidad Autónoma;Gasto total;Distribución porcentual;2020;63,00
04 Balears, Illes;A otra Comunidad Autónoma;Gasto total;Distribución porcentual;2019;74,80
04 Balears, Illes;A otra Comunidad Autónoma;Gasto total;Distribución porcentual;2018;76,80
04 Balears, Illes;A otra Comunidad Autónoma;Gasto total;Distribución porcentual;2017;76,40
04 Balears, Illes;A otra Comunidad Autónoma;Gasto total;Distribución porcentual;2016;79,90
04 Balears, Illes;A otra Comunidad Autónoma;Gasto total;Distribución porcentual;2015;75,10
04 Balears, Illes;A otra Comunidad Autónoma;Gasto total;Variación anual;2021;57,63
04 Balears, Illes;A otra Comunidad Autónoma;Gasto total;Variación anual;2020;-56,78
04 Balears, Illes;A otra Comunidad Autónoma;Gasto total;Variación anual;2019;0,27
04 Balears, Illes;A otra Comunidad Autónoma;Gasto total;Variación anual;2018;-2,49
04 Balears, Illes;A otra Comunidad Autónoma;Gasto total;Variación anual;2017;12,18
04 Balears, Illes;A otra Comunidad Autónoma;Gasto total;Variación anual;2016;14,01
04 Balears, Illes;A otra Comunidad Autónoma;Gasto total;Variación anual;2015;""
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2021;396,03
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2020;398,92
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2019;375,50
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2018;407,12
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2017;423,93
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2016;396,17
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2015;378,86
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2021;""
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2020;""
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2019;""
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2018;""
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2017;""
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2016;""
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2015;""
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio por persona;Variación anual;2021;-0,72
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio por persona;Variación anual;2020;6,24
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio por persona;Variación anual;2019;-7,77
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio por persona;Variación anual;2018;-3,97
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio por persona;Variación anual;2017;7,01
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio por persona;Variación anual;2016;4,57
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio por persona;Variación anual;2015;""
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2021;60,28
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2020;56,07
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2019;73,78
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2018;81,52
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2017;81,47
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2016;74,09
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2015;68,49
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2021;""
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2020;""
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2019;""
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2018;""
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2017;""
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2016;""
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2015;""
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2021;7,51
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2020;-24,01
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2019;-9,49
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2018;0,06
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2017;9,96
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2016;8,18
04 Balears, Illes;A otra Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2015;""
05 Canarias;España;Viajes;Valor absoluto;2021;4.926.069
05 Canarias;España;Viajes;Valor absoluto;2020;4.032.447
05 Canarias;España;Viajes;Valor absoluto;2019;6.416.906
05 Canarias;España;Viajes;Valor absoluto;2018;6.253.638
05 Canarias;España;Viajes;Valor absoluto;2017;5.704.138
05 Canarias;España;Viajes;Valor absoluto;2016;5.281.403
05 Canarias;España;Viajes;Valor absoluto;2015;5.232.941
05 Canarias;España;Viajes;Distribución porcentual;2021;100,0
05 Canarias;España;Viajes;Distribución porcentual;2020;100,0
05 Canarias;España;Viajes;Distribución porcentual;2019;100,0
05 Canarias;España;Viajes;Distribución porcentual;2018;100,0
05 Canarias;España;Viajes;Distribución porcentual;2017;100,0
05 Canarias;España;Viajes;Distribución porcentual;2016;100,0
05 Canarias;España;Viajes;Distribución porcentual;2015;100,0
05 Canarias;España;Viajes;Variación anual;2021;22,16
05 Canarias;España;Viajes;Variación anual;2020;-37,16
05 Canarias;España;Viajes;Variación anual;2019;2,61
05 Canarias;España;Viajes;Variación anual;2018;9,63
05 Canarias;España;Viajes;Variación anual;2017;8,00
05 Canarias;España;Viajes;Variación anual;2016;0,93
05 Canarias;España;Viajes;Variación anual;2015;""
05 Canarias;España;Duración media de los viajes;Valor absoluto;2021;3,77
05 Canarias;España;Duración media de los viajes;Valor absoluto;2020;4,02
05 Canarias;España;Duración media de los viajes;Valor absoluto;2019;3,64
05 Canarias;España;Duración media de los viajes;Valor absoluto;2018;3,75
05 Canarias;España;Duración media de los viajes;Valor absoluto;2017;3,98
05 Canarias;España;Duración media de los viajes;Valor absoluto;2016;3,84
05 Canarias;España;Duración media de los viajes;Valor absoluto;2015;4,14
05 Canarias;España;Duración media de los viajes;Distribución porcentual;2021;""
05 Canarias;España;Duración media de los viajes;Distribución porcentual;2020;""
05 Canarias;España;Duración media de los viajes;Distribución porcentual;2019;""
05 Canarias;España;Duración media de los viajes;Distribución porcentual;2018;""
05 Canarias;España;Duración media de los viajes;Distribución porcentual;2017;""
05 Canarias;España;Duración media de los viajes;Distribución porcentual;2016;""
05 Canarias;España;Duración media de los viajes;Distribución porcentual;2015;""
05 Canarias;España;Duración media de los viajes;Variación anual;2021;-6,10
05 Canarias;España;Duración media de los viajes;Variación anual;2020;10,41
05 Canarias;España;Duración media de los viajes;Variación anual;2019;-2,92
05 Canarias;España;Duración media de los viajes;Variación anual;2018;-5,94
05 Canarias;España;Duración media de los viajes;Variación anual;2017;3,71
05 Canarias;España;Duración media de los viajes;Variación anual;2016;-7,31
05 Canarias;España;Duración media de los viajes;Variación anual;2015;""
05 Canarias;España;Pernoctaciones;Valor absoluto;2021;18.580.261
05 Canarias;España;Pernoctaciones;Valor absoluto;2020;16.197.960
05 Canarias;España;Pernoctaciones;Valor absoluto;2019;23.345.823
05 Canarias;España;Pernoctaciones;Valor absoluto;2018;23.436.045
05 Canarias;España;Pernoctaciones;Valor absoluto;2017;22.726.028
05 Canarias;España;Pernoctaciones;Valor absoluto;2016;20.289.015
05 Canarias;España;Pernoctaciones;Valor absoluto;2015;21.688.049
05 Canarias;España;Pernoctaciones;Distribución porcentual;2021;100,0
05 Canarias;España;Pernoctaciones;Distribución porcentual;2020;100,0
05 Canarias;España;Pernoctaciones;Distribución porcentual;2019;100,0
05 Canarias;España;Pernoctaciones;Distribución porcentual;2018;100,0
05 Canarias;España;Pernoctaciones;Distribución porcentual;2017;100,0
05 Canarias;España;Pernoctaciones;Distribución porcentual;2016;100,0
05 Canarias;España;Pernoctaciones;Distribución porcentual;2015;100,0
05 Canarias;España;Pernoctaciones;Variación anual;2021;14,71
05 Canarias;España;Pernoctaciones;Variación anual;2020;-30,62
05 Canarias;España;Pernoctaciones;Variación anual;2019;-0,38
05 Canarias;España;Pernoctaciones;Variación anual;2018;3,12
05 Canarias;España;Pernoctaciones;Variación anual;2017;12,01
05 Canarias;España;Pernoctaciones;Variación anual;2016;-6,45
05 Canarias;España;Pernoctaciones;Variación anual;2015;""
05 Canarias;España;Gasto total;Valor absoluto;2021;1.151.528,33
05 Canarias;España;Gasto total;Valor absoluto;2020;791.642,16
05 Canarias;España;Gasto total;Valor absoluto;2019;1.506.781,34
05 Canarias;España;Gasto total;Valor absoluto;2018;1.430.474,04
05 Canarias;España;Gasto total;Valor absoluto;2017;1.208.740,29
05 Canarias;España;Gasto total;Valor absoluto;2016;1.124.065,34
05 Canarias;España;Gasto total;Valor absoluto;2015;1.102.483,46
05 Canarias;España;Gasto total;Distribución porcentual;2021;100,00
05 Canarias;España;Gasto total;Distribución porcentual;2020;100,00
05 Canarias;España;Gasto total;Distribución porcentual;2019;100,00
05 Canarias;España;Gasto total;Distribución porcentual;2018;100,00
05 Canarias;España;Gasto total;Distribución porcentual;2017;100,00
05 Canarias;España;Gasto total;Distribución porcentual;2016;100,00
05 Canarias;España;Gasto total;Distribución porcentual;2015;100,00
05 Canarias;España;Gasto total;Variación anual;2021;45,46
05 Canarias;España;Gasto total;Variación anual;2020;-47,46
05 Canarias;España;Gasto total;Variación anual;2019;5,33
05 Canarias;España;Gasto total;Variación anual;2018;18,34
05 Canarias;España;Gasto total;Variación anual;2017;7,53
05 Canarias;España;Gasto total;Variación anual;2016;1,96
05 Canarias;España;Gasto total;Variación anual;2015;""
05 Canarias;España;Gasto medio por persona;Valor absoluto;2021;233,76
05 Canarias;España;Gasto medio por persona;Valor absoluto;2020;196,32
05 Canarias;España;Gasto medio por persona;Valor absoluto;2019;234,81
05 Canarias;España;Gasto medio por persona;Valor absoluto;2018;228,74
05 Canarias;España;Gasto medio por persona;Valor absoluto;2017;211,91
05 Canarias;España;Gasto medio por persona;Valor absoluto;2016;212,83
05 Canarias;España;Gasto medio por persona;Valor absoluto;2015;210,68
05 Canarias;España;Gasto medio por persona;Distribución porcentual;2021;""
05 Canarias;España;Gasto medio por persona;Distribución porcentual;2020;""
05 Canarias;España;Gasto medio por persona;Distribución porcentual;2019;""
05 Canarias;España;Gasto medio por persona;Distribución porcentual;2018;""
05 Canarias;España;Gasto medio por persona;Distribución porcentual;2017;""
05 Canarias;España;Gasto medio por persona;Distribución porcentual;2016;""
05 Canarias;España;Gasto medio por persona;Distribución porcentual;2015;""
05 Canarias;España;Gasto medio por persona;Variación anual;2021;19,07
05 Canarias;España;Gasto medio por persona;Variación anual;2020;-16,39
05 Canarias;España;Gasto medio por persona;Variación anual;2019;2,65
05 Canarias;España;Gasto medio por persona;Variación anual;2018;7,95
05 Canarias;España;Gasto medio por persona;Variación anual;2017;-0,44
05 Canarias;España;Gasto medio por persona;Variación anual;2016;1,02
05 Canarias;España;Gasto medio por persona;Variación anual;2015;""
05 Canarias;España;Gasto medio diario por persona;Valor absoluto;2021;61,98
05 Canarias;España;Gasto medio diario por persona;Valor absoluto;2020;48,87
05 Canarias;España;Gasto medio diario por persona;Valor absoluto;2019;64,54
05 Canarias;España;Gasto medio diario por persona;Valor absoluto;2018;61,04
05 Canarias;España;Gasto medio diario por persona;Valor absoluto;2017;53,19
05 Canarias;España;Gasto medio diario por persona;Valor absoluto;2016;55,40
05 Canarias;España;Gasto medio diario por persona;Valor absoluto;2015;50,83
05 Canarias;España;Gasto medio diario por persona;Distribución porcentual;2021;""
05 Canarias;España;Gasto medio diario por persona;Distribución porcentual;2020;""
05 Canarias;España;Gasto medio diario por persona;Distribución porcentual;2019;""
05 Canarias;España;Gasto medio diario por persona;Distribución porcentual;2018;""
05 Canarias;España;Gasto medio diario por persona;Distribución porcentual;2017;""
05 Canarias;España;Gasto medio diario por persona;Distribución porcentual;2016;""
05 Canarias;España;Gasto medio diario por persona;Distribución porcentual;2015;""
05 Canarias;España;Gasto medio diario por persona;Variación anual;2021;26,81
05 Canarias;España;Gasto medio diario por persona;Variación anual;2020;-24,28
05 Canarias;España;Gasto medio diario por persona;Variación anual;2019;5,74
05 Canarias;España;Gasto medio diario por persona;Variación anual;2018;14,76
05 Canarias;España;Gasto medio diario por persona;Variación anual;2017;-4,00
05 Canarias;España;Gasto medio diario por persona;Variación anual;2016;8,99
05 Canarias;España;Gasto medio diario por persona;Variación anual;2015;""
05 Canarias;Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2021;4.134.041
05 Canarias;Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2020;3.614.650
05 Canarias;Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2019;5.084.115
05 Canarias;Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2018;4.960.767
05 Canarias;Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2017;4.730.930
05 Canarias;Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2016;4.272.637
05 Canarias;Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2015;4.336.164
05 Canarias;Dentro de la Comunidad Autónoma;Viajes;Distribución porcentual;2021;83,9
05 Canarias;Dentro de la Comunidad Autónoma;Viajes;Distribución porcentual;2020;89,6
05 Canarias;Dentro de la Comunidad Autónoma;Viajes;Distribución porcentual;2019;79,2
05 Canarias;Dentro de la Comunidad Autónoma;Viajes;Distribución porcentual;2018;79,3
05 Canarias;Dentro de la Comunidad Autónoma;Viajes;Distribución porcentual;2017;82,9
05 Canarias;Dentro de la Comunidad Autónoma;Viajes;Distribución porcentual;2016;80,9
05 Canarias;Dentro de la Comunidad Autónoma;Viajes;Distribución porcentual;2015;82,9
05 Canarias;Dentro de la Comunidad Autónoma;Viajes;Variación anual;2021;14,37
05 Canarias;Dentro de la Comunidad Autónoma;Viajes;Variación anual;2020;-28,90
05 Canarias;Dentro de la Comunidad Autónoma;Viajes;Variación anual;2019;2,49
05 Canarias;Dentro de la Comunidad Autónoma;Viajes;Variación anual;2018;4,86
05 Canarias;Dentro de la Comunidad Autónoma;Viajes;Variación anual;2017;10,73
05 Canarias;Dentro de la Comunidad Autónoma;Viajes;Variación anual;2016;-1,47
05 Canarias;Dentro de la Comunidad Autónoma;Viajes;Variación anual;2015;""
05 Canarias;Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2021;3,28
05 Canarias;Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2020;3,51
05 Canarias;Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2019;2,93
05 Canarias;Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2018;3,14
05 Canarias;Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2017;3,37
05 Canarias;Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2016;3,04
05 Canarias;Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2015;3,10
05 Canarias;Dentro de la Comunidad Autónoma;Duración media de los viajes;Distribución porcentual;2021;""
05 Canarias;Dentro de la Comunidad Autónoma;Duración media de los viajes;Distribución porcentual;2020;""
05 Canarias;Dentro de la Comunidad Autónoma;Duración media de los viajes;Distribución porcentual;2019;""
05 Canarias;Dentro de la Comunidad Autónoma;Duración media de los viajes;Distribución porcentual;2018;""
05 Canarias;Dentro de la Comunidad Autónoma;Duración media de los viajes;Distribución porcentual;2017;""
05 Canarias;Dentro de la Comunidad Autónoma;Duración media de los viajes;Distribución porcentual;2016;""
05 Canarias;Dentro de la Comunidad Autónoma;Duración media de los viajes;Distribución porcentual;2015;""
05 Canarias;Dentro de la Comunidad Autónoma;Duración media de los viajes;Variación anual;2021;-6,68
05 Canarias;Dentro de la Comunidad Autónoma;Duración media de los viajes;Variación anual;2020;19,81
05 Canarias;Dentro de la Comunidad Autónoma;Duración media de los viajes;Variación anual;2019;-6,51
05 Canarias;Dentro de la Comunidad Autónoma;Duración media de los viajes;Variación anual;2018;-6,86
05 Canarias;Dentro de la Comunidad Autónoma;Duración media de los viajes;Variación anual;2017;10,80
05 Canarias;Dentro de la Comunidad Autónoma;Duración media de los viajes;Variación anual;2016;-2,10
05 Canarias;Dentro de la Comunidad Autónoma;Duración media de los viajes;Variación anual;2015;""
05 Canarias;Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2021;13.555.734
05 Canarias;Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2020;12.700.437
05 Canarias;Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2019;14.910.392
05 Canarias;Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2018;15.561.225
05 Canarias;Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2017;15.932.526
05 Canarias;Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2016;12.986.699
05 Canarias;Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2015;13.462.756
05 Canarias;Dentro de la Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2021;73,0
05 Canarias;Dentro de la Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2020;78,4
05 Canarias;Dentro de la Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2019;63,9
05 Canarias;Dentro de la Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2018;66,4
05 Canarias;Dentro de la Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2017;70,1
05 Canarias;Dentro de la Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2016;64,0
05 Canarias;Dentro de la Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2015;62,1
05 Canarias;Dentro de la Comunidad Autónoma;Pernoctaciones;Variación anual;2021;6,73
05 Canarias;Dentro de la Comunidad Autónoma;Pernoctaciones;Variación anual;2020;-14,82
05 Canarias;Dentro de la Comunidad Autónoma;Pernoctaciones;Variación anual;2019;-4,18
05 Canarias;Dentro de la Comunidad Autónoma;Pernoctaciones;Variación anual;2018;-2,33
05 Canarias;Dentro de la Comunidad Autónoma;Pernoctaciones;Variación anual;2017;22,68
05 Canarias;Dentro de la Comunidad Autónoma;Pernoctaciones;Variación anual;2016;-3,54
05 Canarias;Dentro de la Comunidad Autónoma;Pernoctaciones;Variación anual;2015;""
05 Canarias;Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2021;728.760,79
05 Canarias;Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2020;571.361,16
05 Canarias;Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2019;829.810,80
05 Canarias;Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2018;729.833,09
05 Canarias;Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2017;673.318,24
05 Canarias;Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2016;576.784,50
05 Canarias;Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2015;619.518,86
05 Canarias;Dentro de la Comunidad Autónoma;Gasto total;Distribución porcentual;2021;63,30
05 Canarias;Dentro de la Comunidad Autónoma;Gasto total;Distribución porcentual;2020;72,20
05 Canarias;Dentro de la Comunidad Autónoma;Gasto total;Distribución porcentual;2019;55,10
05 Canarias;Dentro de la Comunidad Autónoma;Gasto total;Distribución porcentual;2018;51,00
05 Canarias;Dentro de la Comunidad Autónoma;Gasto total;Distribución porcentual;2017;55,70
05 Canarias;Dentro de la Comunidad Autónoma;Gasto total;Distribución porcentual;2016;51,30
05 Canarias;Dentro de la Comunidad Autónoma;Gasto total;Distribución porcentual;2015;56,20
05 Canarias;Dentro de la Comunidad Autónoma;Gasto total;Variación anual;2021;27,55
05 Canarias;Dentro de la Comunidad Autónoma;Gasto total;Variación anual;2020;-31,15
05 Canarias;Dentro de la Comunidad Autónoma;Gasto total;Variación anual;2019;13,70
05 Canarias;Dentro de la Comunidad Autónoma;Gasto total;Variación anual;2018;8,39
05 Canarias;Dentro de la Comunidad Autónoma;Gasto total;Variación anual;2017;16,74
05 Canarias;Dentro de la Comunidad Autónoma;Gasto total;Variación anual;2016;-6,90
05 Canarias;Dentro de la Comunidad Autónoma;Gasto total;Variación anual;2015;""
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2021;176,28
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2020;158,07
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2019;163,22
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2018;147,12
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2017;142,32
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2016;134,99
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2015;142,87
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2021;""
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2020;""
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2019;""
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2018;""
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2017;""
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2016;""
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2015;""
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio por persona;Variación anual;2021;11,52
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio por persona;Variación anual;2020;-3,15
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio por persona;Variación anual;2019;10,94
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio por persona;Variación anual;2018;3,37
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio por persona;Variación anual;2017;5,43
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio por persona;Variación anual;2016;-5,51
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio por persona;Variación anual;2015;""
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2021;53,76
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2020;44,99
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2019;55,65
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2018;46,90
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2017;42,26
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2016;44,41
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2015;46,02
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2021;""
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2020;""
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2019;""
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2018;""
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2017;""
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2016;""
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2015;""
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2021;19,50
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2020;-19,16
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2019;18,66
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2018;10,98
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2017;-4,85
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2016;-3,49
05 Canarias;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2015;""
05 Canarias;A otra Comunidad Autónoma;Viajes;Valor absoluto;2021;792.028
